abiiz	habis
agusyudhoyono	agus yudhoyono
aja	saja
ak	aku
akn	akan
ama	sama
ame	sama
ampe	sampai
ane	saya
ana	saya
apalg	apalagi
apaqa	apakah
artix	artinya
as	amerika serikat
aurah	aura
aq	aku
ayoo	ayo
baguus	bagus
bak	bagaikan
banget	sangat
bazerp	buzzerrp
becus	mampu
bener	benar
berhub	berhubungan
berkat	karena
bgitu	begitu
bhineka	bineka
biar	supaya
bikin	buat
bliau	beliau
blingsatan	tidak tenang
bnyk	banyak
bohir	pemilik modal
bokeb	film porno
bokep	film porno
bongpret	cebong kampret
bontot	bungsu
bpk	bapak
brbekas	berbekas
bs	bisa
bsr	besar
bu	ibu
byk	banyak
ca	calon
cacimaki	caci maki
cape	lelah
capek	lelah
caprescawapres	capres cawapres
cb	coba
cewe	wanita
cewek	wanita
chainis	chinese
cos	karena
cowo	pria
cowok	pria
coz	karena
cuan	untung
dah	sudah
dapet	dapat
deadline	tenggat waktu
dengam	dengan
deviden	dividen
dg	dengan
dgn	dengan
dgendong	digendong
dgn 	dengan
dicacimaki	dicaci maki
didlm	di dalam
didzalimi	dizalimi
digubris	dipedulikan
dikelarin	diselesaikan
diketuai	dipimpin
dilupain	dilupakan
dimiki	dimiliki
dirubuhkan	dirobohkan
diseyumin	disenyumin
diutangin	mengutangi
dll	dan lain lain
dlm	dalam
dmn	dimana
dmna	dimana
doang	saja
doank	saja
doyan	suka sekali
dpet	dapet
dr	dari
dri	dari
duit	uang
duid	uang
dwngan	dengan
endonesah	indonesia
elu	kamu
etmudiklancar	et mudik lancar
emak-enak	emak-emak
ente	kamu
feb	februari
fi	di
ga	tidak
gabisa	tidak bisa
gak	tidak
gaabis	tidak habis
gaes	guys
gais	guys
gak	tidak
ganjarpranowo	ganjar pranowo
gemoy	gemas
geng	gerombolan
ges	guys
ghibahin	menggunjingkan
gini	begini
gitu	begitu
gk	tidak
gua	aku
gub	gubernur
gue	aku
gw	aku
headtrick	hattrick
hektar	hektare
hits	hit
hoax	hoaks
hrs	harus
ihlaskan	ikhlaskan
iklas	ikhlas
iku	itu
indo	indonesia
jamiman	jaminan
jd	jadi
jdi	jadi
jg	juga
jgn	jangan
jkt	jakarta
jkw	jokowi
jln	jalan
jokowidodo	joko widodo
jt	juta
kab	kabupaten
kabinetm	kabinet
kaga	tidak
kalee	kali
kalo	kalau
kangen	rindu
kans	kesempatan
karempeng	kurus
karepe	keinginan
karir	karier
karna	karena
kasi	kasih
kasian	kasihan
kau	kamu
kayak	seperti
kayaknya	sepertinya
kec	kecamatan
kejuaran	kejuaraan
kek	seperti
keknya	sepertinya
kemaren	kemarin
kenyaman	kenyamanan
kepemipinan	kepemimpinan
kerempeng	kurus
kerena	karena
kerenn	keren
ketemu	bertemu
keterngn	keterangan
ketulungan	tertolong
kgt	kaget
khabar	kabar
kl	kalau
klu	kalau
klo	kalau
kmp	kampung
kmu	kamu
kmren	kemarin
kmrn	kemarin
komit	komitmen
kopasus	kopassus
koq	kok
kpd	kepada
krn	karena
krna	karena
ku	aku
lbh	lebih
lemb	lembaga
lemparaan	lemparan
lg	lagi
lgi	lagi
lha	lah
liat	lihat
link	tautan
lo	kamu
loby	lobi
loe	kamu
lu	kamu
macem	macam
mar	maret
mastinya	mestinya
memonitoring	memonitor
menanges	menangis
mending	lebih baik
mendingprabowo	mending prabowo
mengunjunhi	mengunjungi
menha	menhan
mensejahterakan	menyejahterakan
menyelenggarakn	menyelenggarakan
milyar	miliar
miq	mik
mksudnya	maksudnya
mmadati	memadati
mmbuat	membuat
mngecek	mengecek
mnghadapi	menghadapi
mnjdi	menjadi
mnjadi	menjadi
mnyesatkn	menyesatkan
mo	mau
moga	semoga
moment	momen
mosok	masa
mpe	sampai
msh	masih
mu	kamu
mungking	mungkin
musu	musuh
nanggapi	menanggapi
nangis	menangis
ngeles	berkilah
ngga	tidak
nggak	tidak
nggk	tidak
ngibulin	membohongi
ngimpi	mimpi
ngumbar	mengumbar
nih	ini
nii	ini
nnti	nanti
nyalonin	mencalonkan
nyapa	menyapa
nyapres	mencapreskan
ogah	tidak mau
ok	oke
ono	ada
opo	apa
org	orang
pak	bapak
paki	pakai
pake	pakai
palingpas	paling cocok
pas	cocok
pd	percaya diri
pdemokrat	partai demokrat
pejuhwang	pejuang
pelaksaan	pelaksanaan
pen	ingin
penghianat	pengkhianat
pertahana	pertahanan
pny	punya
pondasi	fondasi
populo	populi
prabowosubianto	prabowo subianto
pres	presiden
prnh	pernah
ramadhan	ramadan
ri	republik indonesia
roses	proses
rp	rupiah
saben	setiap
saking	karena sangat
sangsi	sanksi
sbg	sebagai
sbuah	sebuah
sdh	sudah
seneng	senang
sepakbola	sepak bola
setop	stop
shrsnya	seharusnya
sih	memang
sinkronisasi	menyinkronkan
sirambut	si rambut
skrg	sekarang
slalu	selalu
sllu	selalu
slma	selama
sm	sama
smoga	semoga
smp	sampai
sngt	sangat
sngat	sangat
sok	berlagak
sopo	siapa
sprt	seperti
spt	seperti
stabilisasi	menstabilkan
sumatera	sumatra
survey	survei
sy	saya
syetan	setan
syurga	surga
sya	saya
syap	siap
taik	tahi
tamba	tambah
tau	tahu
taun	tahun
tdk	tidak
telpon	telepon
temanmya	temannya
temen	teman
temenan	berteman
tercover	terkover
terimakasih	terima kasih
tgl	tanggal
thanx	thanks
thn	tahun
tp	tapi
tpi	tapi
tranaparan	transparan
trus	terus
tsb	tersebut
tu	itu
tuh	itu
tuk	untuk
tw	tahu
uda	sudah
udah	sudah
udeh	sudah
udh	sudah
untu	untuk
utk	untuk
vidio	video
wkt	waktu
wlau	walau
wong	orang
ye	ya
yg	yang
ygy	ya guys ya
yoi	iya
yth	yang terhormat
zolomi	zalimi
